#frequency,iteration,mesh size,matrix size,converged,final error,elapsed time (s),modal impedance calculation,mode count,alpha[1] db/m,beta[1]/ko,real(Z[1;1]),imag(Z[1;1]),
300000000,1,8413,338105,0,-1,98.814331306,1,1,1.7263070609349,1.92835777312085,49.8204198731131,0.235502037084675,
1000000000,1,8413,338105,0,-1,97.82325346,1,1,4.11520186149918,1.92835998415063,49.820371462983,0.235500160798684,
2000000000,1,8413,338105,0,-1,100.241152156,1,1,7.16218479055122,1.92835986037391,49.8203758202619,0.235500191086322,
3000000000,1,8413,338105,0,-1,98.716731838,1,1,10.0853968644196,1.92835985278198,49.8203770641904,0.235500167930084,
4000000000,1,8413,338105,0,-1,99.591713668,1,1,12.9528668912411,1.92835987526181,49.8203781458015,0.235500123292477,
5000000000,1,8413,338105,0,-1,107.325987461,1,1,15.7869276628851,1.92835992711747,49.8203795621816,0.235500060541969,
6000000000,1,8413,338105,0,-1,102.396676495,1,1,18.5975089080723,1.92835998595254,49.8203823336308,0.235499989812278,
7000000000,1,8413,338105,0,-1,101.798596704,1,1,21.3898209458561,1.92836005904954,49.8203868138039,0.235499910808409,
8000000000,1,8413,338105,0,-1,96.083529908,1,1,24.1669185669602,1.92836014284597,49.820393785152,0.235499828373166,
9000000000,1,8413,338105,0,-1,97.889690152,1,1,26.9307480788921,1.92836023922339,49.8204039500287,0.235499745247502,
10000000000,1,8413,338105,0,-1,99.682517085,1,1,29.6826351187917,1.92836034636737,49.8204182258949,0.235499666257232,
11000000000,1,8413,338105,0,-1,107.997152502,1,1,32.4235343482314,1.9283604651697,49.8204375534868,0.23549959559319,
12000000000,1,8413,338105,0,-1,102.781290644,1,1,35.1541667120003,1.92836059476704,49.8204630280125,0.235499538666077,
13000000000,1,8413,338105,0,-1,100.500564125,1,1,37.8750992445215,1.92836073735546,49.8204957640765,0.235499500196634,
14000000000,1,8413,338105,0,-1,97.700807887,1,1,40.5867936847314,1.92836089109513,49.8205370831464,0.235499486863586,
15000000000,1,8413,338105,0,-1,97.227279103,1,1,43.2896372108402,1.92836105611534,49.8205883618519,0.235499505154811,
16000000000,1,8413,338105,0,-1,96.054884995,1,1,45.9839625646329,1.92836123189543,49.8206510942317,0.235499562249443,
17000000000,1,8413,338105,0,-1,103.658945189,1,1,48.6700615869835,1.9283614193343,49.8207268377297,0.235499665250491,
18000000000,1,8413,338105,0,-1,105.083141535,1,1,51.3481945810098,1.92836161862312,49.8208172802992,0.235499822133358,
19000000000,1,8413,338105,0,-1,102.81326381,1,1,54.0185969420788,1.92836182905953,49.8209242282901,0.235500041567231,
20000000000,1,8413,338105,0,-1,101.113674461,1,1,56.6814839300511,1.92836205099566,49.8210495675036,0.235500332368821,
21000000000,1,8413,338105,0,-1,100.867995271,1,1,59.3370542063351,1.92836228436143,49.8211953018501,0.235500704042207,
22000000000,1,8413,338105,0,-1,98.405859017,1,1,61.9854924880697,1.9283625292027,49.8213635322305,0.235501166479335,
23000000000,1,8413,338105,0,-1,108.562115844,1,1,64.6269715777627,1.92836278537358,49.8215564713767,0.235501730166895,
24000000000,1,8413,338105,0,-1,107.089307737,1,1,67.2616539394338,1.9283630531097,49.8217764275604,0.235502405954401,
25000000000,1,8413,338105,0,-1,100.883454103,1,1,69.889692954955,1.92836333231329,49.8220258214703,0.235503205287661,
26000000000,1,8413,338105,0,-1,106.970551225,1,1,72.5112339255597,1.9283636227544,49.8223071843786,0.235504140182275,
27000000000,1,8413,338105,0,-1,113.850599167,1,1,75.1264148818861,1.92836392489332,49.8226231349706,0.235505222894892,
28000000000,1,8413,338105,0,-1,104.533799832,1,1,77.7353672726467,1.92836423851132,49.822976415843,0.235506466430493,
29000000000,1,8413,338105,0,-1,99.254820865,1,1,80.3382165238276,1.92836456351008,49.8233698717706,0.23550788423771,
30000000000,1,8413,338105,0,-1,109.15613909,1,1,82.9350825143861,1.92836489990604,49.823806453419,0.235509490254433,
31000000000,1,8413,338105,0,-1,109.758764241,1,1,85.5260799877689,1.9283652479457,49.8242892115692,0.235511298829198,
32000000000,1,8413,338105,0,-1,104.370275879,1,1,88.1113189132519,1.92836560747858,49.8248213142717,0.235513324953438,
33000000000,1,8413,338105,0,-1,100.225641123,1,1,90.6909047901077,1.92836597836266,49.8254060386867,0.235515584144659,
34000000000,1,8413,338105,0,-1,101.93431957,1,1,93.2649389178875,1.92836636089953,49.8260467567429,0.235518092248375,
35000000000,1,8413,338105,0,-1,105.952101555,1,1,95.8335186463548,1.92836675498697,49.8267469614007,0.235520865793796,
36000000000,1,8413,338105,0,-1,99.681385221,1,1,98.3967375914369,1.92836716056057,49.8275102509455,0.235523921778806,
37000000000,1,8413,338105,0,-1,103.043660974,1,1,100.954685826742,1.92836757755996,49.8283403346738,0.235527277740402,
38000000000,1,8413,338105,0,-1,112.534794832,1,1,103.507450057684,1.9283680062961,49.8292410209763,0.235530951593346,
39000000000,1,8413,338105,0,-1,99.444269253,1,1,106.055113795099,1.92836844655774,49.8302162413048,0.235534961952185,
40000000000,1,8413,338105,0,-1,101.204531633,1,1,108.597757494111,1.92836889822608,49.8312700347091,0.235539327919419,
41000000000,1,8413,338105,0,-1,100.267558886,1,1,111.135458681864,1.92836936162536,49.8324065395913,0.235544068966785,
42000000000,1,8413,338105,0,-1,100.172205567,1,1,113.668292099902,1.9283698365434,49.8336300183988,0.235549205272858,
43000000000,1,8413,338105,0,-1,99.238806605,1,1,116.196329806283,1.92837032306384,49.8349448361991,0.235554757431209,
44000000000,1,8413,338105,0,-1,100.66231851,1,1,118.719641284527,1.92837082122803,49.8363554719588,0.235560746592504,
45000000000,1,8413,338105,0,-1,99.036338137,1,1,121.23829354849,1.92837133100461,49.8378665161901,0.235567194438399,
46000000000,1,8413,338105,0,-1,99.531864945,1,1,123.752351232224,1.92837185229299,49.8394826738114,0.235574123217016,
47000000000,1,8413,338105,0,-1,98.942070478,1,1,126.261876670245,1.92837238528005,49.8412087540589,0.235581555599576,
48000000000,1,8413,338105,0,-1,99.205575935,1,1,128.766929991902,1.92837292986775,49.8430496846711,0.235589514880308,
