#frequency,iteration,mesh size,matrix size,converged,final error,elapsed time (s),modal impedance calculation,mode count,alpha[1] db/m,beta[1]/ko,alpha[2] db/m,beta[2]/ko,alpha[3] db/m,beta[3]/ko,alpha[4] db/m,beta[4]/ko,alpha[5] db/m,beta[5]/ko,real(Z[1;1]),imag(Z[1;1]),
6000000000,4,138,7975,1,1.72431059304304e-12,10.261908329,1,5,480.761517856609,3.96975264919971e-14,2122.67476962275,7.53862194005304e-16,2453.50257163695,1.94737194269603e-14,2728.469726643,6.25109906694909e-15,2728.46972664194,-2.08247914725135e-14,6.86901220998745e-11,760.804495826181,
6250000000,4,112,6493,1,2.67402552780019e-12,8.223930462,1,5,359.973321562115,5.13954586326527e-16,2098.61795779449,-2.48415124300886e-15,2432.71947092433,6.5026915588138e-17,2709.79634002126,1.33086254511893e-15,2709.79634002174,1.41292538915911e-14,1.69406357999192e-12,1058.42775434356,
6500000000,4,137,7912,1,1.16463232848049e-11,10.668046649,1,5,154.547775722507,-1.91915070900106e-15,2073.28279680385,1.61928685333269e-14,2410.89780931466,3.45748450212387e-15,2690.22311846751,-3.10026875534554e-15,2690.22311846713,2.73032579076709e-14,-3.74430646316007e-11,2563.90609689878,
6750000000,5,130,7519,1,6.32553418433658e-12,11.34601991,1,5,-4.05051645610802e-12,0.238594309864901,2046.62181309204,-1.60640921568144e-15,2388.00911582461,5.94203529703024e-15,2669.73027054049,4.78454952465515e-15,2669.73027053985,1.96047381945074e-14,1403.51792246641,-1.94913587430332e-11,
7000000000,4,138,7975,1,1.17499453956698e-12,10.08711898,1,5,-9.31379532769979e-12,0.350897103548291,2018.58247383773,-3.03194882867107e-15,2364.02239733922,4.91331896624499e-16,2648.2964477754,1.54619465833866e-14,2648.29644777517,3.01068090192142e-15,954.329308765094,-2.00459137863625e-11,
7250000000,4,138,7975,1,1.21490711191683e-12,10.603822598,1,5,-2.21819142079975e-12,0.427317993445419,1989.10649013703,4.68671361229127e-16,2338.90387159047,3.53327033238192e-15,2625.8986082327,2.55402092421838e-14,2625.89860823243,-9.82204973374706e-14,783.658529277216,-3.14108503604149e-12,
7500000000,4,138,7975,1,4.47308156219139e-13,10.887235077,1,5,3.40437297152925e-13,0.486029904642886,1958.12898504728,1.0073145883786e-15,2312.61665944001,1.66370939841296e-15,2602.51186235485,9.20079393979961e-15,2602.51186235501,-6.54786082363574e-14,688.993387192864,3.55240277333125e-13,
7750000000,4,138,7975,1,7.08953229576333e-13,10.531623593,1,5,3.98655291424812e-12,0.533614265724776,1925.5774932783,2.24902339450735e-15,2285.12042878609,-3.33235734144293e-15,2578.10929834897,8.85982459088321e-14,2578.10929834897,-8.37839245252403e-14,627.553294180249,3.40826481242812e-12,
8000000000,4,138,7975,1,4.40780085728284e-13,10.605951403,1,5,-2.96390370295231e-12,0.573398722621449,1891.37074914333,-1.32093570994948e-15,2256.3709806128,-1.85720981091309e-15,2552.66178377193,-1.7983481138854e-15,2552.66178377239,-3.64412281202883e-14,584.011399163981,-2.158102294818e-12,
8250000000,4,138,7975,1,4.62357313338957e-13,11.096581688,1,5,-2.30049451280318e-13,0.607359185603186,1855.41720547393,-3.22318395674952e-15,2226.31976539883,-1.7626994989312e-15,2526.13773931343,-1.40416820750646e-15,2526.13773931376,-1.67608873015893e-13,551.356426666047,7.60051562141428e-14,
