#frequency,iteration,mesh size,matrix size,converged,final error,elapsed time (s),modal impedance calculation,mode count,alpha[1] db/m,beta[1]/ko,real(Z[1;1]),imag(Z[1;1]),
6750000000,11,97,5644,1,4.35001581437694e-10,12.109366083,1,1,0.374578202986405,0.238594309866075,1403.51792475939,2.71824754783418e-12,
7000000000,11,97,5644,1,5.04303660600711e-10,11.221629249,1,1,0.251072476406493,0.35089710354873,954.329309806084,1.02408107922314e-11,
7250000000,11,97,5644,1,5.68941695374633e-10,11.289287987,1,1,0.203590983041082,0.427317993445995,783.658530131475,-9.10246954640763e-13,
7500000000,11,97,5644,1,6.8502010677942e-10,11.502866154,1,1,0.177034592067322,0.486029904643191,688.993387944843,3.34469791442231e-12,
7750000000,11,97,5644,1,8.15712001049481e-10,11.396591068,1,1,0.159705409573937,0.533614265725316,627.553294864497,3.97517308191494e-13,
8000000000,14,143,8290,1,8.78344935748225e-11,18.583200673,1,1,0.147391251900178,0.573398722621458,584.011398802564,1.70338177797135e-12,
8250000000,11,97,5644,1,8.58707290665466e-10,12.037684682,1,1,0.138155027242109,0.607359185603334,551.356427267955,-9.73839748311144e-13,
8500000000,11,97,5644,1,9.5606467302462e-10,11.764144708,1,1,0.130965405151733,0.636787570155043,525.876141962215,-1.14929824254845e-12,
8750000000,14,143,8290,1,6.05721937485483e-10,19.960476383,1,1,0.125216339718861,0.662584649277541,505.401672880182,1.26744935096573e-12,
9000000000,14,143,8290,1,8.33116231281711e-10,19.88121542,1,1,0.120525346023226,0.685407962562243,488.572366328994,6.09064179193137e-12,
9250000000,16,190,10975,1,4.82358271660598e-10,26.459705556,1,1,0.116637596531544,0.705754268805488,474.48723247259,-3.86663193049766e-12,
9500000000,10,84,4885,1,1.94186391788333e-10,10.592023583,1,1,0.113375932035063,0.724008999551299,462.523795736894,1.77372904716992e-11,
9750000000,9,74,4303,1,9.97371596677628e-10,8.751174057,1,1,0.110612886312995,0.740477643788994,452.237003112014,-2.12076761721922e-13,
10000000000,9,74,4303,1,9.68848238126241e-10,9.040217318,1,1,0.108254113595432,0.755406579840652,443.299541512045,-2.6258663860998e-13,
10250000000,16,190,10975,1,1.6616885977804e-10,26.394176206,1,1,0.106228106470749,0.768997416383637,435.464908823735,2.0200230710932e-12,
10500000000,9,74,4303,1,9.71862620091395e-10,10.982661676,1,1,0.104479560810556,0.781417167652378,428.543682377245,-1.1959707461953e-12,
10750000000,9,74,4303,1,9.02222879333459e-10,9.123166934,1,1,0.102964958525741,0.792805658405272,422.387740234031,-1.56091520659175e-12,
11000000000,9,74,4303,1,8.25411105699672e-10,9.77495556,1,1,0.101649531567946,0.803281030486549,416.879495206969,-3.49647538010853e-12,
11250000000,16,190,10975,1,2.89976685895949e-10,27.667926734,1,1,0.100505134355862,0.812943914481072,411.924345389708,6.78715787080269e-12,
11500000000,9,74,4303,1,7.03693763994505e-10,9.359392124,1,1,0.0995087112768993,0.821880641538081,407.445282896423,-1.14668226521699e-12,
11750000000,16,190,10975,1,2.2806620274979e-10,26.987845483,1,1,0.0986411833840166,0.830165751470522,403.378950791436,2.73303112131603e-13,
12000000000,16,190,10975,1,1.75973048228769e-10,31.449629118,1,1,0.0978866083073775,0.837863975993878,399.672738542036,-7.1233310279827e-13,
12250000000,9,74,4303,1,6.39513158860392e-10,9.5881477,1,1,0.0972315561920493,0.845031824500035,396.282578702502,-2.15187822273019e-13,
12500000000,9,74,4303,1,3.41731558941615e-10,9.786065274,1,1,0.0966646273146127,0.851718864740349,393.171273247121,1.95683600110873e-12,
12750000000,10,84,4885,1,2.97596005048729e-10,11.96565648,1,1,0.0961760756601272,0.857968766461889,390.307204306609,2.59989327802026e-12,
13000000000,13,125,7252,1,6.02415968822989e-10,17.493251446,1,1,0.0957575182067169,0.863820158820679,387.663319906759,3.75444278304054e-12,
13250000000,9,74,4303,1,5.41906333405959e-10,9.648040812,1,1,0.0954017006937416,0.869307340054543,385.216338421292,-6.52570785292627e-13,
13500000000,9,74,4303,1,3.13845111757771e-10,9.618470974,1,1,0.0951023149013623,0.874460868864245,382.946112767253,2.75495200923223e-12,
13750000000,9,74,4303,1,4.80911502843277e-10,11.54715716,1,1,0.0948538455126865,0.879308060307201,380.835119811792,6.57356300462102e-13,
14000000000,9,74,4303,1,3.71855600621218e-10,11.686474976,1,1,0.0946514499794524,0.88387340401196,378.868047141759,1.40831127097782e-12,
14250000000,10,84,4885,1,6.08176682250102e-11,14.898524803,1,1,0.0944908580948264,0.888178918769792,377.031455648587,-9.72591563994634e-13,
14500000000,17,202,11659,1,2.57020962900062e-10,35.039158683,1,1,0.094368290261325,0.892244454665027,375.313500749577,-6.13505818920358e-12,
14750000000,16,190,10975,1,5.98839575818885e-10,27.852457016,1,1,0.0942803866332211,0.896087951696174,373.703707518175,-2.08757146118988e-12,
15000000000,16,190,10975,1,1.39630447582327e-10,31.826752163,1,1,0.0942241533695287,0.899725662105695,372.192773770311,-8.10004478196746e-13,
