#frequency,iteration,mesh size,matrix size,converged,final error,elapsed time (s),modal impedance calculation,mode count,alpha[1] db/m,beta[1]/ko,real(Z[1;1]),imag(Z[1;1]),
10000000,14,5543,83641,1,4.11361729060146e-06,264.620370534,1,1,7.92131271668325e-16,1.50296562509363,413.03710703733,1.16505384843826e-13,
21544346.9003188,4,2050,31093,1,2.74342304156574e-06,165.585972892,1,1,2.5896082127312e-15,1.50332317796719,412.937816312598,1.84814535216039e-13,
46415888.3361278,4,2116,32107,1,2.86241133442939e-06,153.847641556,1,1,5.16790645542588e-15,1.50332579495464,412.937585266238,1.66266856945854e-13,
100000000,3,1822,27691,1,1.70005153533022e-06,163.894829053,1,1,7.23488846016874e-14,1.50332958089391,412.936463774251,1.08965094185148e-12,
215443469.003188,3,1601,24373,1,6.81860094163077e-07,155.046779742,1,1,-4.12440601681232e-14,1.50332963054565,412.936496179672,-2.91001744653915e-13,
464158883.361278,3,1727,26233,1,4.80805376100041e-07,149.033192665,1,1,-1.97465548968193e-14,1.50332962160862,412.935747182929,-6.29293841063205e-14,
1000000000,3,1664,25267,1,8.44382738501621e-08,122.150513107,1,1,9.49538731456765e-15,1.50332963632959,412.935081231059,-9.1890421546321e-16,
2154434690.03188,3,1716,26077,1,1.12398002701848e-06,130.694116975,1,1,3.81867998471344e-14,1.50332963747991,412.936209277988,2.16684737248743e-14,
4641588833.61278,3,1694,25753,1,1.68918864055077e-08,100.549399241,1,1,1.35506878457061e-13,1.50332963787844,412.935806676117,3.89541357379125e-14,
10000000000,3,1783,27109,1,7.6841381949047e-07,105.363513848,1,1,-5.62421985280283e-13,1.50332963778539,412.936351535649,-8.30585767731099e-14,
