#frequency,iteration,mesh size,matrix size,converged,final error,elapsed time (s),modal impedance calculation,mode count,alpha[1] db/m,beta[1]/ko,real(Z[1;1]),imag(Z[1;1]),
100000000,1,1630,93606,0,-1,42.384318704,1,1,6.72329721800009e-14,2.59087469362443,38.674480968008,-6.29530575857328e-14,
1000000000,3,1630,93606,1,1.6299012267453e-09,131.153940873,1,1,9.77120064679135e-13,2.5984343008226,38.5878428366014,-7.82764866094368e-14,
4000000000,1,1630,93606,0,-1,43.09058968,1,1,1.22578128335392e-12,2.65280686855215,38.8703421233899,-1.8178138758235e-14,
8000000000,1,1630,93606,0,-1,43.032343212,1,1,-7.72336303587902e-11,2.71126649888558,39.7128198966809,-7.83533196915548e-13,
12000000000,1,1630,93606,0,-1,43.441555146,1,1,-6.00522475352744e-12,2.75932102785442,40.7046716834085,3.19482283045193e-14,
16000000000,1,1630,93606,0,-1,43.334687066,1,1,2.05633847297682e-11,2.79933296264874,41.8919094615417,-8.33898387399303e-14,
20000000000,1,1630,93606,0,-1,43.408612514,1,1,7.53235803953656e-12,2.83271355433955,43.1995421015076,3.51224284030199e-14,
24000000000,1,1630,93606,0,-1,43.404248126,1,1,-3.03397287785394e-11,2.86093036339816,44.5821224797151,-6.40312494081271e-14,
28000000000,1,1630,93606,0,-1,43.903933722,1,1,-4.45038717817655e-11,2.88516222958124,46.0166816845221,-8.60190068535454e-14,
32000000000,1,1630,93606,0,-1,44.111017865,1,1,-3.10518678278578e-11,2.90627296017014,47.4905502930653,-9.11812519352052e-14,
36000000000,1,1630,93606,0,-1,43.630792584,1,1,-1.03048995554055e-10,2.92487954892744,48.9952210499794,-3.07814482394661e-13,
40000000000,1,1630,93606,0,-1,43.702070602,1,1,-8.42741724873587e-12,2.9414241825818,50.5235561997206,-6.80219226282355e-14,
44000000000,1,1630,93606,0,-1,43.626634385,1,1,5.25912793594416e-11,2.95623018267214,52.0686469838185,1.84078937207842e-16,
48000000000,1,1630,93606,0,-1,44.092013906,1,1,4.89966370655149e-11,2.96954134543083,53.6235085608223,1.48376158883005e-13,
52000000000,1,1630,93606,0,-1,44.948443301,1,1,1.81569582470524e-11,2.98154826586462,55.1811741220793,4.15360704885942e-14,
56000000000,1,1630,93606,0,-1,44.593059618,1,1,1.6846916742044e-12,2.9924054028736,56.7349355960618,5.40731599626606e-14,
60000000000,1,1630,93606,0,-1,44.139970764,1,1,-9.92981490953069e-11,3.00224190860997,58.2785898955842,-1.14014543398379e-13,
64000000000,1,1630,93606,0,-1,44.468372877,1,1,-1.43815045738973e-11,3.01116842640439,59.8066240929347,-3.16827363266548e-14,
68000000000,1,1630,93606,0,-1,45.687369467,1,1,5.00216240384422e-11,3.01928137033912,61.3143200413806,6.40953411362845e-14,
72000000000,1,1630,93606,0,-1,44.491692581,1,1,-4.39417271865196e-11,3.0266656773903,62.7977848411213,5.07491046551721e-16,
76000000000,1,1630,93606,0,-1,44.273966573,1,1,2.04624252011508e-11,3.03339665464564,64.2539245453108,2.39289941940159e-14,
80000000000,1,1630,93606,0,-1,44.340061891,1,1,1.05054751380337e-10,3.03954129795929,65.680380511288,1.28188307820097e-13,
84000000000,1,1630,93606,0,-1,44.390665917,1,1,-3.7011683469336e-11,3.04515930136935,67.0754453184115,-2.13833918884005e-14,
88000000000,1,1630,93606,0,-1,44.561714588,1,1,5.27866809325229e-11,3.05030388071815,68.4379710565086,4.45834769012315e-14,
92000000000,1,1630,93606,0,-1,45.108827676,1,1,1.43122763177451e-11,3.05502247856294,69.7672787061125,2.47123465385232e-14,
96000000000,1,1630,93606,0,-1,45.280019771,1,1,-4.59786185843209e-11,3.05935738583034,71.0630738860754,-4.55410359737311e-14,
100000000000,30,1630,93606,0,-1,587.993447514,1,1,3.51240078878408e-11,3.06334629861548,72.3253717196353,3.58449568890623e-14,
