#frequency,iteration,mesh size,matrix size,converged,final error,elapsed time (s),modal impedance calculation,mode count,alpha[1] db/m,beta[1]/ko,real(Z[1;1]),imag(Z[1;1]),
100000000,1,855,49257,0,-1,20.297949629,1,1,-4.30538011563198e-14,2.29502089744491,31.6517378557564,2.31099353342902e-14,
1000000000,3,855,49257,1,3.76772937056411e-11,61.709042749,1,1,5.27937123300918e-14,2.2960331469937,31.6392443101591,-1.23454638404353e-14,
4000000000,1,855,49257,0,-1,20.589372988,1,1,7.29394036865988e-13,2.31071737220564,31.4888294095656,-5.40547878833207e-15,
8000000000,1,855,49257,0,-1,20.569509715,1,1,2.33933084752892e-12,2.35253445743866,31.2651867066597,-1.11162880308839e-14,
12000000000,1,855,49257,0,-1,20.76143335,1,1,9.67345976024884e-12,2.41226564569861,31.3228026512088,7.12468386451142e-14,
16000000000,1,855,49257,0,-1,20.795588165,1,1,2.50420564892895e-11,2.48194178195462,31.8882560280782,-1.79656332737256e-14,
20000000000,1,855,49257,0,-1,20.713548751,1,1,2.13189442168703e-12,2.5539075557879,33.0149389909898,9.81338877781069e-15,
24000000000,1,855,49257,0,-1,20.694305856,1,1,-2.46774254987629e-11,2.62230464227983,34.6042194096019,-6.79974305240316e-14,
28000000000,1,855,49257,0,-1,20.69296287,1,1,-2.14638932315239e-10,2.68385825288901,36.4949775385497,-5.34302474976579e-13,
32000000000,1,855,49257,0,-1,20.709590074,1,1,1.16040991687664e-10,2.73749010340513,38.5390846250256,2.17749128635314e-13,
36000000000,1,855,49257,0,-1,20.886395351,1,1,-2.12465403690299e-11,2.7834472182645,40.6311208388801,-2.38530717624186e-14,
40000000000,1,855,49257,0,-1,20.963700632,1,1,9.51395720123619e-12,2.82256745473029,42.7067441924103,-1.13139804708255e-14,
44000000000,1,855,49257,0,-1,20.87945149,1,1,8.65314916686069e-12,2.85584593267673,44.7309204878863,3.30381515567105e-14,
48000000000,1,855,49257,0,-1,20.852429864,1,1,-9.06755281946985e-11,2.88423148738085,46.6867946939899,-2.05173086483235e-13,
52000000000,1,855,49257,0,-1,21.028619932,1,1,1.76379944944842e-12,2.90855206834361,48.5679245825679,-1.62428494803083e-15,
56000000000,1,855,49257,0,-1,21.068557659,1,1,2.26191896027904e-11,2.92950093757564,50.3734996200755,3.15940289759357e-14,
60000000000,1,855,49257,0,-1,20.982005217,1,1,4.5060108750684e-11,2.94764744659786,52.1055771295447,7.17904919649778e-14,
64000000000,1,855,49257,0,-1,21.14213455,1,1,3.57436355595528e-12,2.9634554330066,53.7675427896596,1.15571012878343e-14,
68000000000,1,855,49257,0,-1,21.256904182,1,1,-5.80975966287843e-11,2.97730207234634,55.3632779388152,-8.66623319347546e-14,
72000000000,1,855,49257,0,-1,21.151857977,1,1,2.34821843757392e-12,2.98949456976821,56.8967245963247,2.86130916461027e-14,
76000000000,1,855,49257,0,-1,21.245751076,1,1,1.41242304534322e-11,3.00028404420203,58.3716707309388,1.4591022565335e-15,
80000000000,1,855,49257,0,-1,21.214891098,1,1,-3.86710284358815e-11,3.00987673587146,59.7916556349628,-6.81678009811264e-14,
84000000000,1,855,49257,0,-1,21.456722191,1,1,3.7586773592349e-12,3.01844292301877,61.1599393502569,1.73289008191126e-14,
88000000000,1,855,49257,0,-1,21.507515511,1,1,-9.84436879177209e-12,3.02612397227074,62.4795049373153,-1.8293258843526e-14,
92000000000,1,855,49257,0,-1,21.47667759,1,1,1.51816832438254e-10,3.03303790514851,63.7530763496709,1.88128094883045e-13,
96000000000,1,855,49257,0,-1,21.629777798,1,1,9.03163095310951e-11,3.03928379892482,64.9831425406638,9.93701676217925e-14,
100000000000,20,855,49257,0,-1,249.280527298,1,1,1.75094236506207e-11,3.04494527651399,66.1719828431908,1.33212701896173e-14,
