#frequency,iteration,mesh size,matrix size,converged,final error,elapsed time (s),modal impedance calculation,mode count,alpha[1] db/m,beta[1]/ko,real(Z[1;1]),imag(Z[1;1]),
100000000,1,2042,117138,0,-1,50.887569572,1,1,-4.07934063650789e-15,2.29495900907617,31.4496666273334,3.28789001026183e-14,
1000000000,31,2042,117138,0,-1,1162.768552693,1,1,-3.80259024235668e-13,2.29596589907581,31.4374180348912,3.24612325641545e-15,
4000000000,1,2042,117138,0,-1,51.382898344,1,1,1.78154353489289e-14,2.3106493175837,31.2892784861522,-3.25506498764468e-15,
8000000000,1,2042,117138,0,-1,51.703099518,1,1,2.13835296299988e-12,2.35246479624087,31.070868764871,1.04174066750525e-14,
12000000000,1,2042,117138,0,-1,52.150598987,1,1,3.94533631054076e-12,2.41219467310758,31.1338820238253,-8.86058921771188e-15,
16000000000,1,2042,117138,0,-1,52.286880501,1,1,-1.41386182458387e-11,2.4818706348223,31.7032919926042,-3.8770329776672e-14,
20000000000,1,2042,117138,0,-1,52.249374312,1,1,-1.14696007660212e-11,2.55383771450475,32.8320838100519,-7.7101697849119e-14,
24000000000,1,2042,117138,0,-1,52.305900996,1,1,-7.03685330429259e-12,2.62223738246024,34.4221090656531,1.72854074845801e-14,
28000000000,1,2042,117138,0,-1,52.190992235,1,1,1.54662534073162e-11,2.6837943808485,36.3129919333308,-6.71208893621996e-14,
32000000000,1,2042,117138,0,-1,52.950159771,1,1,4.22633952005839e-11,2.73742998035545,38.3571860024158,2.44786267451205e-13,
36000000000,1,2042,117138,0,-1,52.67904268,1,1,1.03805828652464e-10,2.78339089914607,40.449588744229,2.32305061622619e-13,
40000000000,1,2042,117138,0,-1,52.509943652,1,1,1.97046480340078e-11,2.82251481961673,42.5259716750423,5.30124310004425e-14,
44000000000,1,2042,117138,0,-1,52.567008656,1,1,1.9695320475438e-11,2.85579677586546,44.5512984556497,-2.86883121242914e-14,
48000000000,1,2042,117138,0,-1,52.267141868,1,1,-5.97047408972618e-11,2.88418556943289,46.508660227307,-1.66697853916637e-14,
52000000000,1,2042,117138,0,-1,52.674965261,1,1,-3.83963070319671e-11,2.90850914404361,48.3915454510738,-1.16308940348726e-13,
56000000000,1,2042,117138,0,-1,52.608221137,1,1,-5.90009596644745e-11,2.92946076996067,50.1990762107496,-1.01112487336128e-13,
60000000000,1,2042,117138,0,-1,52.865663494,1,1,2.9606104420684e-11,2.94760981335668,51.9332513201169,7.04765521415861e-14,
64000000000,1,2042,117138,0,-1,53.073439617,1,1,3.96856524445918e-12,2.96342012886742,53.5974085751973,-1.36619764317691e-14,
68000000000,1,2042,117138,0,-1,53.368477403,1,1,-1.45144337573119e-11,2.97726890940097,55.1953915140792,-4.37272101166883e-14,
72000000000,1,2042,117138,0,-1,53.382300153,1,1,4.5450334463214e-11,2.98946337678673,56.7311130473013,7.32866432094518e-14,
76000000000,1,2042,117138,0,-1,53.406892288,1,1,-1.55446790146143e-11,3.00025466549662,58.2083391654218,-4.50035936276019e-14,
80000000000,1,2042,117138,0,-1,53.833635168,1,1,-5.35479313102071e-11,3.00984903000317,59.6305928667058,-4.5260217983699e-14,
84000000000,1,2042,117138,0,-1,53.603621986,1,1,9.96663861752966e-11,3.0184167614888,61.0011223524858,1.57012071452451e-13,
88000000000,1,2042,117138,0,-1,53.586010848,1,1,6.76614780454088e-11,3.02609923828168,62.3229022862846,1.15295543930862e-13,
92000000000,1,2042,117138,0,-1,53.940988184,1,1,1.57293713534381e-10,3.03301449245111,63.5986508689135,1.62502769394272e-13,
96000000000,1,2042,117138,0,-1,54.034777778,1,1,-4.78453716997575e-12,3.03926161077341,64.8308533117577,2.31895890368715e-15,
100000000000,3,2042,117138,1,2.28807725907779e-10,162.289203357,1,1,2.91631438467926e-11,3.04492422471891,66.0217867282601,4.16380506523361e-15,
