#frequency,iteration,mesh size,matrix size,converged,final error,elapsed time (s),modal impedance calculation,mode count,alpha[1] db/m,beta[1]/ko,alpha[2] db/m,beta[2]/ko,alpha[3] db/m,beta[3]/ko,alpha[4] db/m,beta[4]/ko,alpha[5] db/m,beta[5]/ko,
6000000000,1,138,2167,0,-1,1.809538093,1,5,328.16648959282,-6.36696154395095e-13,2385.84634563376,-4.90520325347831e-14,2667.28429622298,-1.05186707036246e-14,2947.43343723451,1.71965050788145e-13,2995.98551719221,-3.5930045997557e-14,
6250000000,1,138,2167,0,-1,0.34531851,1,5,5.9724197090496e-13,0.191362898389256,2353.11808373256,-2.50087520812613e-16,2633.57771201922,4.94668126492479e-16,2914.01539161409,8.35278509527609e-15,2966.01673194105,-6.12687007041391e-16,
6500000000,1,138,2167,0,-1,0.366168503,1,5,-1.09055336564491e-13,0.38717470049681,2318.33593929594,-2.13959302629399e-17,2597.97102882189,6.66337311836514e-16,2878.99232473638,-8.91803427496886e-15,2934.44664977845,7.57313511837196e-16,
6750000000,1,138,2167,0,-1,0.397551376,1,5,-3.00999541278957e-13,0.501599206292414,2281.37469447651,-2.46481848697686e-16,2560.37772983043,1.93355700160313e-16,2842.32858554802,3.6962148928368e-15,2901.21660276952,2.62149944976243e-16,
7000000000,1,138,2167,0,-1,0.347728288,1,5,2.04488667494926e-12,0.585983631739179,2242.09294368471,-3.21500599017221e-15,2520.70129934467,1.84465054617976e-16,2803.98522271792,2.07683217987254e-15,2866.26214399044,-1.78188694597345e-15,
7250000000,1,138,2167,0,-1,0.356291506,1,5,-7.49038764363912e-12,0.653155945844974,2200.33027171069,-7.16576467776804e-16,2478.83367323235,-3.48596959762416e-16,2763.91954115562,-2.58562131230992e-14,2829.51232465142,1.72472596199659e-15,
7500000000,1,138,2167,0,-1,0.365597917,1,5,-2.5841248463272e-09,0.708848796465784,2155.90373278742,-4.85643504604405e-17,2434.65335007067,1.97483816893916e-13,2722.08456850395,-8.6095758075946e-13,2790.88884159108,6.31227289026243e-13,
7750000000,1,138,2167,0,-1,0.368777199,1,5,3.3597549699997e-12,0.756249090306099,2108.60340123631,-9.11961841619537e-17,2388.02306773832,3.4605632511183e-15,2678.42841081924,-2.23640159601216e-14,2750.3050258195,2.11023919296564e-15,
8000000000,1,138,2167,0,-1,0.377534816,1,5,-5.24337891452791e-12,0.797355310966811,2058.18666858469,-3.19816182115322e-15,2338.78691678089,2.09290847056202e-15,2632.89347117724,-7.45378138995609e-15,2707.6646345055,4.31295097692172e-15,
8250000000,1,138,2167,0,-1,0.385419999,1,5,-4.05330536587464e-12,0.833520676793472,2004.37081697749,5.31218440772634e-15,2286.76671403664,3.91365202148963e-15,2585.41549792552,-8.81251916739491e-15,2662.86039783188,4.05758331772266e-15,
8500000000,1,138,2167,0,-1,0.389415803,1,5,2.11686158673708e-12,0.865711455052357,1946.82317346378,2.59885205977933e-15,2231.75739041239,7.13193441433271e-16,2535.92241979863,-1.48109046068638e-14,2615.77225708304,-9.5063476824104e-16,
